,form,station no,mir,БСП ЗА БЪЛГАРИЯ,БСП ЗА БЪЛГАРИЯ result,БСП ЗА БЪЛГАРИЯ result paper,БСП ЗА БЪЛГАРИЯ result machine,ГЕРБ-СДС,ГЕРБ-СДС result,ГЕРБ-СДС result paper,ГЕРБ-СДС result machine,ВЪЗРАЖДАНЕ,ВЪЗРАЖДАНЕ result,ВЪЗРАЖДАНЕ result paper,ВЪЗРАЖДАНЕ result machine,ПП ИМА ТАКЪВ НАРОД,ПП ИМА ТАКЪВ НАРОД result,ПП ИМА ТАКЪВ НАРОД result paper,ПП ИМА ТАКЪВ НАРОД result machine,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА result,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА result paper,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА result machine,"КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (АТАКА, РУСОФИЛИ, КОМУНИСТИ)","КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (АТАКА, РУСОФИЛИ, КОМУНИСТИ) result","КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (АТАКА, РУСОФИЛИ, КОМУНИСТИ) result paper","КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (АТАКА, РУСОФИЛИ, КОМУНИСТИ) result machine",Българско Национално Обединение,Българско Национално Обединение result,Българско Национално Обединение result paper,Българско Национално Обединение result machine,ЗАЕДНО,ЗАЕДНО result,ЗАЕДНО result paper,ЗАЕДНО result machine,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД result,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД result paper,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД result machine,НДСВ,НДСВ result,НДСВ result paper,НДСВ result machine,КОД /Консервативно Обединение на Десницата/,КОД /Консервативно Обединение на Десницата/ result,КОД /Консервативно Обединение на Десницата/ result paper,КОД /Консервативно Обединение на Десницата/ result machine,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ result,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ result paper,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ result machine,Движение за права и свободи – ДПС,Движение за права и свободи – ДПС result,Движение за права и свободи – ДПС result paper,Движение за права и свободи – ДПС result machine,ЛЕВИЦАТА!,ЛЕВИЦАТА! result,ЛЕВИЦАТА! result paper,ЛЕВИЦАТА! result machine,ПП БЪЛГАРСКИ ВЪЗХОД,ПП БЪЛГАРСКИ ВЪЗХОД result,ПП БЪЛГАРСКИ ВЪЗХОД result paper,ПП БЪЛГАРСКИ ВЪЗХОД result machine,МИР,МИР result,МИР result paper,МИР result machine,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА result,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА result paper,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА result machine,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ result,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ result paper,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ result machine,ПП Глас Народен,ПП Глас Народен result,ПП Глас Народен result paper,ПП Глас Народен result machine,Социалистическа партия Български път,Социалистическа партия Български път result,Социалистическа партия Български път result paper,Социалистическа партия Български път result machine,ВЪН от ЕС и НАТО,ВЪН от ЕС и НАТО result,ВЪН от ЕС и НАТО result paper,ВЪН от ЕС и НАТО result machine,независим,независим result,независим result paper,независим result machine
12,26,010100013,1,1,58,19,39,2,124,57,67,3,67,15,52,4,20,5,15,5,3,1,2,6,0,0,0,7,1,0,1,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,77,3,74,13,0,0,0,14,12,1,11,15,7,2,5,16,0,0,0,17,0,0,0,18,1,1,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
13,26,010100014,1,1,14,7,7,2,92,37,55,3,28,7,21,4,9,3,6,5,1,0,1,6,4,2,2,7,0,0,0,8,4,0,4,9,0,0,0,10,0,0,0,11,0,0,0,12,192,37,155,13,1,1,0,14,4,0,4,15,4,0,4,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,1,0,1,22,,,
14,26,010100015,1,1,8,6,2,2,115,57,58,3,32,11,21,4,5,1,4,5,0,0,0,6,1,1,0,7,0,0,0,8,1,0,1,9,0,0,0,10,0,0,0,11,0,0,0,12,107,31,76,13,9,5,4,14,3,0,3,15,4,0,4,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
15,26,010100016,1,1,21,9,12,2,84,48,36,3,16,7,9,4,6,2,4,5,1,1,0,6,1,0,1,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,87,29,58,13,3,0,3,14,2,1,1,15,1,0,1,16,1,0,1,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,1,1,0,22,,,
16,26,010100017,1,1,12,7,5,2,121,55,66,3,30,6,24,4,3,0,3,5,2,0,2,6,0,0,0,7,0,0,0,8,2,1,1,9,0,0,0,10,0,0,0,11,1,0,1,12,118,27,91,13,4,1,3,14,6,2,4,15,3,2,1,16,1,0,1,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
17,24,010100018,1,1,1,1,0,2,7,7,0,3,2,2,0,4,2,2,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,2,2,0,13,0,0,0,14,6,6,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
18,24,010100019,1,1,11,11,0,2,9,9,0,3,1,1,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,3,3,0,13,0,0,0,14,0,0,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
19,24,010100020,1,1,4,4,0,2,21,21,0,3,6,6,0,4,1,1,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,1,1,0,12,8,8,0,13,1,1,0,14,1,1,0,15,1,1,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
20,24,010100021,1,1,14,14,0,2,30,30,0,3,4,4,0,4,2,2,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,1,1,0,10,0,0,0,11,0,0,0,12,18,18,0,13,0,0,0,14,0,0,0,15,4,4,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
21,24,010100022,1,1,24,24,0,2,62,62,0,3,11,11,0,4,4,4,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,5,5,0,13,3,3,0,14,1,1,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
22,26,010100023,1,1,5,1,4,2,95,67,28,3,2,1,1,4,24,8,16,5,1,0,1,6,0,0,0,7,0,0,0,8,0,0,0,9,1,0,1,10,0,0,0,11,1,1,0,12,15,9,6,13,99,61,38,14,12,3,9,15,4,4,0,16,0,0,0,17,1,1,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
23,26,010200001,1,1,62,36,26,2,44,24,20,3,15,5,10,4,3,2,1,5,0,0,0,6,3,2,1,7,0,0,0,8,0,0,0,9,0,0,0,10,1,0,1,11,0,0,0,12,20,3,17,13,89,54,35,14,3,1,2,15,10,7,3,16,0,0,0,17,1,0,1,18,1,1,0,19,0,0,0,20,0,0,0,21,1,0,1,22,,,
24,26,010200002,1,1,32,26,6,2,48,37,11,3,15,8,7,4,1,1,0,5,1,1,0,6,1,1,0,7,2,2,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,21,5,16,13,207,187,20,14,7,5,2,15,9,8,1,16,2,2,0,17,1,1,0,18,0,0,0,19,1,1,0,20,0,0,0,21,0,0,0,22,,,
25,26,010200003,1,1,61,36,25,2,75,45,30,3,22,6,16,4,5,3,2,5,2,1,1,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,1,1,0,11,0,0,0,12,23,8,15,13,136,62,74,14,3,2,1,15,15,4,11,16,1,1,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
26,26,010200004,1,1,37,25,12,2,74,62,12,3,13,7,6,4,2,0,2,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,18,10,8,13,124,54,70,14,2,1,1,15,21,8,13,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
27,26,010200005,1,1,6,6,0,2,38,25,13,3,1,0,1,4,2,0,2,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,6,3,3,13,307,202,105,14,1,0,1,15,6,4,2,16,1,1,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
28,26,010200006,1,1,3,1,2,2,12,5,7,3,3,0,3,4,0,0,0,5,0,0,0,6,1,0,1,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,4,0,4,13,382,101,281,14,4,1,3,15,8,4,4,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
29,26,010200007,1,1,8,1,7,2,13,6,7,3,2,0,2,4,2,0,2,5,0,0,0,6,0,0,0,7,1,0,1,8,0,0,0,9,0,0,0,10,1,0,1,11,0,0,0,12,4,0,4,13,353,15,338,14,1,1,0,15,8,5,3,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
30,26,010200008,1,1,3,2,1,2,22,10,12,3,3,1,2,4,2,2,0,5,0,0,0,6,0,0,0,7,1,0,1,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,4,1,3,13,296,116,180,14,0,0,0,15,2,2,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
31,26,010200009,1,1,1,1,0,2,14,9,5,3,1,0,1,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,2,0,2,13,244,145,99,14,0,0,0,15,1,0,1,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
32,26,010200010,1,1,2,0,2,2,10,6,4,3,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,1,0,1,9,0,0,0,10,0,0,0,11,0,0,0,12,2,0,2,13,255,151,104,14,0,0,0,15,0,0,0,16,0,0,0,17,1,0,1,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
33,24,010200011,1,1,1,1,0,2,3,3,0,3,1,1,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,1,1,0,13,153,153,0,14,0,0,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
34,26,010200012,1,1,5,1,4,2,8,4,4,3,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,2,1,1,13,470,87,383,14,3,3,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
35,24,010200013,1,1,0,0,0,2,3,3,0,3,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,0,0,0,13,17,17,0,14,0,0,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
36,24,010200014,1,1,1,1,0,2,5,5,0,3,1,1,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,0,0,0,13,144,144,0,14,0,0,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
37,24,010200015,1,1,1,1,0,2,18,18,0,3,1,1,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,1,1,0,13,111,111,0,14,0,0,0,15,1,1,0,16,0,0,0,17,0,0,0,18,1,1,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
38,24,010200016,1,1,2,2,0,2,3,3,0,3,1,1,0,4,0,0,0,5,1,1,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,1,1,0,13,180,180,0,14,1,1,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
39,24,010200017,1,1,0,0,0,2,4,4,0,3,1,1,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,0,0,0,13,101,101,0,14,0,0,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
40,24,010200018,1,1,0,0,0,2,6,6,0,3,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,1,1,0,13,36,36,0,14,1,1,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
41,24,010200019,1,1,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,0,0,0,13,72,72,0,14,0,0,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
42,24,010200020,1,1,20,20,0,2,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,0,0,0,13,56,56,0,14,0,0,0,15,2,2,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
43,26,010300001,1,1,15,6,9,2,62,36,26,3,33,6,27,4,8,0,8,5,0,0,0,6,1,0,1,7,0,0,0,8,0,0,0,9,0,0,0,10,2,0,2,11,0,0,0,12,86,5,81,13,12,6,6,14,8,2,6,15,6,4,2,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
44,26,010300002,1,1,12,5,7,2,43,22,21,3,21,3,18,4,6,1,5,5,0,0,0,6,1,0,1,7,0,0,0,8,1,0,1,9,0,0,0,10,0,0,0,11,0,0,0,12,41,3,38,13,4,2,2,14,3,0,3,15,3,0,3,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
45,26,010300003,1,1,12,3,9,2,57,23,34,3,33,5,28,4,14,0,14,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,47,6,41,13,13,5,8,14,10,2,8,15,1,1,0,16,0,0,0,17,1,0,1,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
46,26,010300004,1,1,17,8,9,2,55,27,28,3,24,4,20,4,10,4,6,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,1,1,0,11,0,0,0,12,57,7,50,13,12,2,10,14,3,2,1,15,7,0,7,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
47,26,010300005,1,1,19,9,10,2,67,36,31,3,32,15,17,4,7,0,7,5,0,0,0,6,0,0,0,7,0,0,0,8,1,0,1,9,0,0,0,10,0,0,0,11,0,0,0,12,69,7,62,13,14,11,3,14,8,3,5,15,8,2,6,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,1,1,0,22,,,
48,26,010300006,1,1,16,4,12,2,27,13,14,3,16,4,12,4,9,1,8,5,2,0,2,6,0,0,0,7,0,0,0,8,1,0,1,9,0,0,0,10,0,0,0,11,0,0,0,12,46,4,42,13,39,16,23,14,6,2,4,15,15,7,8,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,1,1,0,22,,,
49,26,010300007,1,1,2,0,2,2,28,16,12,3,7,4,3,4,4,0,4,5,1,1,0,6,1,0,1,7,0,0,0,8,0,0,0,9,1,0,1,10,0,0,0,11,0,0,0,12,13,6,7,13,69,42,27,14,5,3,2,15,11,4,7,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,1,1,0,21,0,0,0,22,,,
50,26,010300008,1,1,10,5,5,2,48,25,23,3,15,6,9,4,11,2,9,5,0,0,0,6,0,0,0,7,0,0,0,8,1,0,1,9,0,0,0,10,0,0,0,11,1,0,1,12,48,14,34,13,17,14,3,14,6,2,4,15,28,20,8,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
51,26,010300009,1,1,16,9,7,2,39,17,22,3,18,11,7,4,6,3,3,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,4,2,2,10,0,0,0,11,1,1,0,12,17,5,12,13,75,59,16,14,2,0,2,15,15,7,8,16,1,1,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
