sid,Не подкрепям никого,БСП ЗА БЪЛГАРИЯ,ГЕРБ-СДС,ВЪЗРАЖДАНЕ,ПП ИМА ТАКЪВ НАРОД,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,"КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (АТАКА, РУСОФИЛИ, КОМУНИСТИ)",Българско Национално Обединение,ЗАЕДНО,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,НДСВ,КОД /Консервативно Обединение на Десницата/,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,Движение за права и свободи – ДПС,ЛЕВИЦАТА!,ПП БЪЛГАРСКИ ВЪЗХОД,МИР,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,ПП Глас Народен,Социалистическа партия Български път,ВЪН от ЕС и НАТО,независими
234610010,11.0,19.0,56.0,29.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,130.0,1.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,
234615033,18.0,22.0,52.0,33.0,15.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,103.0,0.0,7.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,
234623009,29.0,19.0,99.0,39.0,17.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,64.0,1.0,3.0,12.0,0.0,2.0,0.0,0.0,0.0,1.0,
234610055,18.0,33.0,87.0,48.0,15.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,171.0,1.0,9.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,
234615038,23.0,27.0,125.0,67.0,13.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,145.0,2.0,5.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,
234615029,21.0,52.0,61.0,41.0,13.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,119.0,4.0,11.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,
234602047,9.0,36.0,65.0,44.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,151.0,10.0,20.0,12.0,0.0,0.0,0.0,1.0,0.0,2.0,
234617005,26.0,21.0,120.0,47.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,220.0,2.0,9.0,8.0,0.0,0.0,1.0,4.0,0.0,1.0,
234610030,22.0,38.0,90.0,41.0,9.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,134.0,0.0,10.0,7.0,0.0,0.0,0.0,4.0,0.0,1.0,
234615123,21.0,20.0,113.0,45.0,31.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,128.0,1.0,11.0,6.0,1.0,1.0,1.0,4.0,0.0,1.0,
