,0
402,170100104
403,170700011
404,171300052
405,171300056
406,171300069
407,171300072
408,171700009
409,171700026
410,172300002
411,172500021
412,172600053
413,172800011
414,172800016
415,173300012
416,173300019
417,173900009
418,181100001
419,181100004
420,181100008
421,181100012
422,181100013
423,181400001
424,181400003
425,181400012
426,181400023
427,181400024
428,181400026
429,181400029
430,181400031
431,181400033
432,181600001
433,181600005
434,181700003
435,182600014
436,182600019
437,182600023
438,182900008
439,190300007
440,190300009
441,190400006
442,190400014
443,190400019
444,190400024
445,190500001
446,190500003
447,190500010
448,190500017
449,190800005
450,190800007
451,191300002
452,192700053
453,192700096
454,192700171
455,192700172
456,193300003
457,193300007
458,193300010
459,193300011
460,200700308
461,200700309
462,201000408
463,201000411
464,201000417
465,201000423
466,201000429
467,201000432
468,201000433
469,201000435
470,201500503
471,203100137
472,203100154
473,203100171
474,203100172
475,203400713
476,203400724
477,211100001
478,211100014
479,211100023
480,211100027
481,211600009
482,211600010
483,211600033
484,211600036
485,212000020
486,212000021
487,212000042
488,212000117
489,212000120
490,212000123
491,212000127
492,212000136
493,212000137
494,212000146
495,212000147
496,212000150
497,212000165
498,212000168
499,212000177
500,212000182
501,212400010
502,220200014
503,220900011
504,220900014
505,220900019
506,220900020
507,221600009
508,221600026
509,221600032
510,221800014
511,221800018
512,222700007
513,222700021
514,223100076
515,223800013
516,234617041
517,244607070
518,244607076
519,244607077
520,254611071
521,260700031
522,261000015
523,261600014
524,261700027
525,261800005
526,262000010
527,262000012
528,262000016
529,262000019
530,263400007
531,263400011
532,263900033
533,263900034
534,263900035
535,263900036
536,263900043
537,263900051
538,263900061
539,264300015
540,264700010
541,270700017
542,270700018
543,270700022
544,271200028
545,271200062
546,271200066
547,271200080
548,272200015
549,272300007
550,272400012
551,272700011
552,272700018
553,272700022
554,272700024
555,272700033
556,273100132
557,273100137
558,273100138
559,273100153
560,273100155
561,273100161
562,273100183
563,273100191
564,273600007
565,273600022
566,273600026
567,273700001
568,280200013
569,282200001
570,282200002
571,282200003
572,282200006
573,282200009
574,282200010
575,282200013
576,282200014
577,282200015
578,282200016
579,282200018
580,282200019
581,282200020
582,282200021
583,282200023
584,282200025
585,282200026
586,282200027
587,282200028
588,282200029
589,282200030
590,282200031
591,282200032
592,282200033
593,282200034
594,282200035
595,282200036
596,282200037
597,282200038
598,282200039
599,282200042
600,282200043
601,282200044
602,282200045
603,282200049
604,282200051
605,282200052
606,282400020
607,282400023
608,282400025
609,282400026
610,282400027
611,282400029
612,282400034
613,282400037
614,282400039
615,282400041
616,282400045
617,283500024
618,283500042
619,283500055
620,283500057
621,283500062
622,283500066
623,283500072
624,283500073
625,283500076
626,283500080
627,283500081
628,283500083
629,283500085
630,283500088
631,283500090
632,283500098
633,290900080
634,290900081
635,291700014
636,291900007
637,292900003
638,293200009
639,293200016
640,293300006
641,293300022
642,293400044
643,293400060
644,293400113
645,293400117
646,293400120
647,293400121
648,293400124
649,293400136
650,293400139
651,293400140
652,300700002
653,300700009
654,301000009
655,301100006
656,301100007
657,301800023
658,301900005
659,301900006
660,301900012
661,301900014
662,301900016
