,ACF HR LT
871,021700040
872,021700047
873,021800001
874,021800028
875,021800038
876,022100011
877,022100016
878,022100017
879,022300004
880,022300009
881,022300012
882,022300018
883,022300024
884,030100013
885,030200016
886,030200019
887,030200025
888,030200030
889,030200036
890,030500006
891,030600384
892,030603273
893,030603275
894,030604298
895,030605362
896,030900009
897,030900011
898,030900012
899,030900014
900,031300006
901,031300017
902,031300019
903,031300022
904,031400001
905,031400011
906,031600012
907,031600019
908,031600023
909,032400024
910,032400029
911,032400031
912,032400032
913,032400035
914,032400039
915,040400082
916,040400135
917,040600054
918,040600071
919,041300020
920,041300029
921,041400006
922,041400011
923,042000018
924,042200028
925,042200042
926,042800030
927,042800044
928,043100008
929,043100009
930,043100010
931,043100013
932,043100015
933,043100016
934,043100019
935,043100021
936,043100022
937,050900069
938,050900071
939,050900080
940,050900086
941,050900111
942,051600019
943,051600020
944,053300002
945,053300009
946,053700003
947,060500010
948,060800015
949,060800025
950,060800026
951,060800028
952,061000084
953,062000026
954,062100005
955,062100008
956,062100010
957,062100013
958,062100014
959,062100017
960,062700025
961,062700029
962,062700035
963,062700036
964,063200009
965,070500096
966,070500103
967,070500105
968,070500106
969,071200017
970,072900001
971,080300003
972,080300028
973,080300029
974,080300035
975,081200011
976,081200015
977,081200020
978,081200021
979,081200027
980,081200036
981,081500004
982,081500005
983,081500013
984,081500015
985,081500017
986,081500031
987,081500033
988,081500034
989,081500041
990,081500047
991,081500048
992,081500060
993,081500065
994,081700006
995,081700023
996,081700026
997,081700027
998,081700028
999,082000003
1000,082000015
1001,082700002
1002,082700004
1003,082700007
1004,082700016
1005,082700020
1006,082700024
1007,082700026
1008,090200009
1009,090800017
1010,090800024
1011,090800030
1012,090800031
1013,091400002
1014,091400006
1015,091400007
1016,091400014
1017,091400015
1018,091400021
1019,091400023
1020,091400028
1021,091400032
1022,091400033
1023,091400040
1024,091400046
1025,091400050
1026,091400051
1027,091400059
1028,091400064
1029,091400068
1030,091500022
1031,091500059
1032,091500062
1033,091600006
1034,091600037
1035,091600061
1036,091600062
1037,091600063
1038,091600065
1039,091600069
1040,091600077
1041,091600082
1042,091600112
1043,091600122
1044,091600123
1045,091600131
1046,092100050
1047,092100053
1048,093500028
1049,100500009
1050,102900068
1051,102900078
1052,102900092
