sid;ГЕРБ-СДС;ДПС;ПП/ДБ;ВЪЗР;БСП;ИТН;ВЕЛИЧИЕ;МЕЧ;npn;invalid;СИНЯ БЪЛГАРИЯ;СОЛИДАРНА БГ;ЦЕНТЪР;ВМРО БНД;ЛЕВИЦАТА;БВ;ЗЕЛЕНО ДВИЖЕНИЕ;ГЛАС НАРОДЕН;НИЕ ИДВАМЕ;ЗЕЛЕНИТЕ;ПРЯКА ДЕМОКРАЦИЯ;ЕДИНЕНИЕ;НИЕ ГРАЖДАНИТЕ;БЪЛГАРСКИ ГЛАСЪ;ГРАЖДАНСКИ БЛОК;НП ИСИ;НЕУТРАЛНА БЪЛГАРИЯ;ОБЩЕСТВО ЗА НОВА БГ;КОАЛИЦИЯ НА РОЗАТА;БНС-НД;ЗА ВЕЛИКА БЪЛГАРИЯ;БСДД;БНО;station_type;municipality;country_name;station;region_name;ekatte;place;address;municipality_name;eligible_voters
010200002;43;181;10;12;26;5;5;5;3;8;1;0;1;0;0;0;0;0;0;0;2;1;0;1;0;1;0;0;0;1;0;0;0;;2;България;2;01. БЛАГОЕВГРАД;3504;гр.Белица;гр. БЕЛИЦА ГИМНАЗИЯ  Н. Й. ВАПЦАРОВ , УЛ.  ДИМО ХАДЖИДИМОВ ;Белица;819
010200003;74;139;9;18;51;5;6;5;7;6;0;0;1;1;1;0;0;2;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;;2;България;3;01. БЛАГОЕВГРАД;3504;гр.Белица;гр. БЕЛИЦА ИНФОРМАЦИОНЕН ЦЕНТЪР, УЛ.  ГЕОРГИ АНДРЕЙЧИН  №11;Белица;697
010200004;43;128;8;15;29;3;3;1;8;14;0;0;4;4;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;;2;България;4;01. БЛАГОЕВГРАД;3504;гр.Белица;гр. БЕЛИЦА СОЦИАЛЕН ПАТРОНАЖ, УЛ.  ВЛАДИМИР ПОПТОМОВ ;Белица;551
010200018;0;69;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;2;България;18;01. БЛАГОЕВГРАД;3504;гр.Белица;с. Горно Краище;Белица;75
010200019;0;82;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;2;България;19;01. БЛАГОЕВГРАД;3504;гр.Белица;с. Краище, с. Бабяк, гр. Белица;Белица;110
010200011;3;498;0;2;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;България;11;01. БЛАГОЕВГРАД;2107;с.Бабяк;с. БАБЯК УЧИЛИЩЕ;Белица;564
010200009;33;494;1;2;3;1;0;7;7;17;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;;2;България;9;01. БЛАГОЕВГРАД;77596;с.Горно Краище;с. ГОРНО КРАИЩЕ УЧИЛИЩЕ;Белица;945
010200012;2;18;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;България;12;01. БЛАГОЕВГРАД;15638;с.Гълъбово;с. ГЪЛЪБОВО УЧИЛИЩЕ;Белица;31
010200005;27;335;4;1;3;3;0;0;11;20;2;0;2;0;0;0;0;0;0;1;2;0;0;0;0;0;1;1;0;1;0;0;0;;2;България;5;01. БЛАГОЕВГРАД;20064;с.Дагоново;с. ДАГОНОВО УЧИЛИЩЕ;Белица;626
010200017;6;22;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;България;17;01. БЛАГОЕВГРАД;14521;с.Златарица;с. ЗЛАТАРИЦА КМЕТСТВО;Белица;66
010200006;10;428;0;2;1;2;0;4;6;2;0;0;4;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;;2;България;6;01. БЛАГОЕВГРАД;39270;с.Краище;с. КРАИЩЕ ДЕТСКА ГРАДИНА, УЛ.  ЕДИНАДЕСЕТА  №18;Белица;722
010200008;10;267;0;2;1;2;0;1;7;8;0;0;1;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;България;8;01. БЛАГОЕВГРАД;39270;с.Краище;с. КРАИЩЕ ДЕТСКА ГРАДИНА, УЛ.  ЕДИНАДЕСЕТА  №18;Белица;627
010200007;14;327;0;1;2;2;0;2;5;8;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;България;7;01. БЛАГОЕВГРАД;39270;с.Краище;с. КРАИЩЕ МАГ. БИМБ. МАХАЛА-БАРАКИТЕ, УЛ.  ДВАДЕСЕТ И ПЪРВА  №4;Белица;703
010200013;4;142;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;България;13;01. БЛАГОЕВГРАД;40453;с.Кузьово;с. КУЗЬОВО КМЕТСТВО;Белица;188
010200010;2;138;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;България;10;01. БЛАГОЕВГРАД;44762;с.Лютово;с. ЛЮТОВО КМЕТСТВО;Белица;165
010200016;2;90;0;1;1;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;България;16;01. БЛАГОЕВГРАД;53998;с.Орцево;с. ОРЦЕВО КМЕТСТВО;Белица;121
010200014;9;119;0;1;1;0;0;0;0;3;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;България;14;01. БЛАГОЕВГРАД;59330;с.Палатик;с. ПАЛАТИК УЧИЛИЩЕ;Белица;170
010200015;2;190;0;1;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;България;15;01. БЛАГОЕВГРАД;80649;с.Черешово;с. ЧЕРЕШОВО УЧИЛИЩЕ;Белица;200
010300011;43;27;31;31;6;9;5;1;9;1;6;4;6;5;4;2;1;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;;3;България;11;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД V-то СУ  ГЕОРГИ ИЗМИРЛИЕВ , УЛ.  ХРИСТО ЧЕРНОПЕЕВ  №16;Благоевград;595
010300012;55;24;32;14;10;15;9;3;6;1;1;5;3;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;България;12;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД V-то СУ  ГЕОРГИ ИЗМИРЛИЕВ , УЛ.  ХРИСТО ЧЕРНОПЕЕВ  №16;Благоевград;578
010300013;53;17;31;30;14;8;2;3;6;4;5;2;8;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;3;България;13;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД V-то СУ  ГЕОРГИ ИЗМИРЛИЕВ , УЛ.  ХРИСТО ЧЕРНОПЕЕВ  №16;Благоевград;562
010300014;59;11;50;27;10;17;9;0;3;2;4;5;2;6;2;1;0;0;1;1;2;1;0;0;2;0;0;0;0;0;0;0;0;;3;България;14;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД V-то СУ  ГЕОРГИ ИЗМИРЛИЕВ , УЛ.  ХРИСТО ЧЕРНОПЕЕВ  №16;Благоевград;539
010300015;51;23;25;19;19;11;6;0;5;1;1;0;7;5;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;;3;България;15;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД V-то СУ  ГЕОРГИ ИЗМИРЛИЕВ , УЛ.  ХРИСТО ЧЕРНОПЕЕВ  №16;Благоевград;475
010300101;68;29;35;27;12;6;3;0;5;1;0;5;7;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;;3;България;101;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД V-то СУ  ГЕОРГИ ИЗМИРЛИЕВ , УЛ.  ХРИСТО ЧЕРНОПЕЕВ  №16;Благоевград;518
