sid;Движение 21;БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ;БНС-НД;НОВОТО ВРЕМЕ;ОБЕДИНЕНА БЪЛГАРИЯ;СОЦИАЛДЕМ. ПАРТИЯ;РЕФОРМАТОРСКИ БЛОК;Нова България;ГЕРБ;ОБЩЕСТВО ЗА НОВА БГ;АТАКА;НДСВ;ББЦ;АБВ;ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ;НОВА АЛТЕРНАТИВА;ДЕСНИТЕ;ДПС;Глас Народен;ПАРТИЯ НА ЗЕЛЕНИТЕ;НОВА СИЛА;БСП;ЗЕЛЕНИТЕ;ПФ (НФСБ-ВМРО);РЕПУБЛИКА БГ;независими;npn;invalid;station_type;municipality;municipality_name;country_name;station;region_name;place;ekatte;address;eligible_voters
010200017;0;1;0;1;0;1;0;1;10;0;1;1;0;0;0;0;1;85;0;0;0;3;0;0;0;0;0;16;;2;Белица;България;17;-;с.Орцево;53998;-;156
010200018;0;0;0;0;0;0;0;0;9;0;0;0;1;0;0;0;0;21;0;0;0;1;0;0;0;0;0;2;;2;Белица;България;18;-;с.Златарица;14521;-;76
010300001;9;0;0;1;0;0;47;0;130;0;19;0;21;10;4;0;5;4;3;4;0;47;1;21;11;3;0;25;;3;Благоевград;България;1;-;гр.Благоевград;4279;-;723
010300002;9;0;2;0;1;0;40;1;115;0;24;0;7;18;1;0;0;1;6;2;0;54;2;28;0;3;0;13;;3;Благоевград;България;2;-;гр.Благоевград;4279;-;670
010300003;6;1;0;2;5;0;47;1;163;0;23;0;21;17;0;0;0;1;5;2;0;54;1;17;2;1;0;13;;3;Благоевград;България;3;-;гр.Благоевград;4279;-;806
010300004;4;1;1;6;7;1;42;0;164;0;20;4;20;14;3;1;0;2;8;3;1;45;1;21;9;2;0;21;;3;Благоевград;България;4;-;гр.Благоевград;4279;-;841
010300005;5;0;0;1;16;2;38;0;145;0;34;0;27;15;1;0;2;3;3;1;0;57;2;25;4;0;0;17;;3;Благоевград;България;5;-;гр.Благоевград;4279;-;733
010300006;5;4;0;3;3;1;14;2;109;2;24;1;21;19;0;2;0;3;1;5;0;54;2;20;0;1;0;28;;3;Благоевград;България;6;-;гр.Благоевград;4279;-;755
010300007;4;2;0;0;0;0;3;0;55;0;9;1;6;5;0;0;0;1;1;2;2;91;2;5;2;1;0;51;;3;Благоевград;България;7;-;гр.Благоевград;4279;-;963
010300008;8;6;2;0;2;0;29;1;118;0;13;0;12;16;4;0;0;1;4;4;0;65;0;24;4;1;0;33;;3;Благоевград;България;8;-;гр.Благоевград;4279;-;909
010300009;1;3;0;0;2;0;12;0;78;0;11;0;16;54;1;0;0;5;3;0;1;38;0;21;7;2;0;31;;3;Благоевград;България;9;-;гр.Благоевград;4279;-;903
010300010;7;5;0;1;2;0;14;2;92;1;10;4;19;22;1;0;0;2;3;2;0;65;0;13;7;1;0;35;;3;Благоевград;България;10;-;гр.Благоевград;4279;-;917
010300011;9;1;0;2;7;0;22;0;129;0;13;0;7;14;3;7;2;1;3;1;0;57;5;16;2;1;0;24;;3;Благоевград;България;11;-;гр.Благоевград;4279;-;650
010300012;8;3;0;0;1;0;31;1;176;1;7;2;19;21;1;4;1;5;2;0;3;47;4;19;10;1;0;24;;3;Благоевград;България;12;-;гр.Благоевград;4279;-;859
010300013;5;0;0;1;3;0;32;0;131;0;15;1;31;10;0;1;0;4;9;0;0;46;0;24;4;1;0;13;;3;Благоевград;България;13;-;гр.Благоевград;4279;-;618
010300014;5;0;0;0;2;0;64;2;150;0;19;0;11;23;0;5;2;8;5;5;0;48;5;37;7;3;0;12;;3;Благоевград;България;14;-;гр.Благоевград;4279;-;719
010300015;3;1;1;1;2;0;30;0;149;0;15;3;27;12;0;0;3;1;3;4;0;42;0;23;3;1;0;19;;3;Благоевград;България;15;-;гр.Благоевград;4279;-;725
010300016;5;0;0;0;1;1;59;0;129;0;13;0;14;13;0;1;0;1;6;1;0;64;3;17;1;2;0;13;;3;Благоевград;България;16;-;гр.Благоевград;4279;-;550
010300017;11;1;0;0;0;1;47;4;112;1;10;1;6;16;1;0;3;1;8;0;0;32;0;16;1;2;0;11;;3;Благоевград;България;17;-;гр.Благоевград;4279;-;547
010300018;11;1;1;0;3;1;39;0;143;0;17;0;16;26;2;0;3;3;6;1;0;40;3;16;5;1;0;13;;3;Благоевград;България;18;-;гр.Благоевград;4279;-;677
010300019;6;1;0;2;3;2;60;1;156;0;21;1;15;24;2;1;0;3;4;1;1;69;0;28;7;5;0;24;;3;Благоевград;България;19;-;гр.Благоевград;4279;-;1033
010300020;2;0;0;0;1;0;83;3;137;0;8;0;13;20;1;0;2;2;2;1;0;67;2;7;2;3;0;16;;3;Благоевград;България;20;-;гр.Благоевград;4279;-;680
010300021;11;0;0;0;0;0;26;2;157;0;19;0;14;22;0;2;1;1;4;1;1;70;0;24;2;2;0;21;;3;Благоевград;България;21;-;гр.Благоевград;4279;-;794
010300022;4;1;0;0;5;0;31;3;172;0;16;2;18;15;3;7;3;3;3;2;1;58;0;22;2;2;0;10;;3;Благоевград;България;22;-;гр.Благоевград;4279;-;766
010300023;1;0;1;0;0;0;14;3;83;0;15;0;3;6;1;2;0;0;2;0;0;21;0;33;0;2;0;12;;3;Благоевград;България;23;-;гр.Благоевград;4279;-;340
010300024;1;0;1;0;0;0;41;0;133;0;6;2;9;7;0;0;0;2;4;1;0;33;2;22;4;0;0;8;;3;Благоевград;България;24;-;гр.Благоевград;4279;-;542
010300025;7;0;0;0;0;1;30;0;79;0;15;1;13;9;0;1;0;3;2;0;0;39;4;14;2;0;0;8;;3;Благоевград;България;25;-;гр.Благоевград;4279;-;423
010300026;24;1;1;0;0;0;75;1;157;0;23;2;29;17;3;0;3;4;5;3;0;42;3;41;1;3;0;16;;3;Благоевград;България;26;-;гр.Благоевград;4279;-;883
010300027;5;0;0;0;0;0;61;1;146;3;16;1;19;28;2;3;0;7;5;2;2;73;5;13;1;2;0;12;;3;Благоевград;България;27;-;гр.Благоевград;4279;-;708
010300028;8;1;2;2;5;0;31;0;94;0;13;3;10;21;1;0;0;4;4;0;2;27;1;21;0;0;0;11;;3;Благоевград;България;28;-;гр.Благоевград;4279;-;487
010300029;5;0;1;0;4;0;56;2;162;1;9;0;17;21;0;2;5;2;6;2;0;40;1;25;0;1;0;17;;3;Благоевград;България;29;-;гр.Благоевград;4279;-;686
010300030;3;0;0;0;0;0;30;0;117;0;10;1;6;29;0;0;3;4;2;2;0;33;1;29;5;4;0;16;;3;Благоевград;България;30;-;гр.Благоевград;4279;-;663
010300031;6;1;1;1;2;1;37;1;135;0;14;1;10;21;1;0;1;1;7;3;0;46;1;11;4;1;0;12;;3;Благоевград;България;31;-;гр.Благоевград;4279;-;693
010300032;2;1;0;0;0;0;20;1;57;0;4;1;9;9;0;0;3;1;1;9;0;27;4;10;2;0;0;10;;3;Благоевград;България;32;-;гр.Благоевград;4279;-;370
010300033;2;0;0;0;0;0;14;1;63;0;5;2;7;7;0;1;0;0;5;0;1;20;3;13;8;3;0;4;;3;Благоевград;България;33;-;гр.Благоевград;4279;-;252
010300034;10;0;0;0;7;0;53;1;127;0;20;1;8;23;4;0;2;2;7;2;0;72;0;22;5;5;0;21;;3;Благоевград;България;34;-;гр.Благоевград;4279;-;690
010300035;3;0;0;0;0;1;40;0;124;0;15;1;16;15;1;0;2;3;6;2;0;48;2;28;2;2;0;25;;3;Благоевград;България;35;-;гр.Благоевград;4279;-;719
010300036;9;1;1;0;1;0;29;2;118;0;17;0;10;19;2;0;2;0;2;5;1;43;2;25;0;0;0;16;;3;Благоевград;България;36;-;гр.Благоевград;4279;-;562
010300037;7;2;1;0;2;1;44;3;91;1;8;1;10;16;0;1;0;2;8;0;0;51;7;19;3;0;0;13;;3;Благоевград;България;37;-;гр.Благоевград;4279;-;555
010300038;8;0;1;1;2;0;23;1;99;0;9;1;14;17;0;0;0;1;3;0;0;38;1;21;1;2;0;5;;3;Благоевград;България;38;-;гр.Благоевград;4279;-;443
010300039;4;2;0;2;2;0;41;0;123;0;8;2;17;14;2;1;1;3;5;7;0;44;0;21;3;7;0;12;;3;Благоевград;България;39;-;гр.Благоевград;4279;-;567
010300040;5;2;0;0;5;0;51;1;135;1;19;0;12;21;1;0;0;1;1;0;1;40;3;15;0;2;0;16;;3;Благоевград;България;40;-;гр.Благоевград;4279;-;653
010300041;10;0;0;0;1;0;70;1;165;0;23;0;7;25;2;0;0;0;5;6;1;77;2;37;3;3;0;17;;3;Благоевград;България;41;-;гр.Благоевград;4279;-;990
010300042;4;0;1;2;3;0;57;1;188;1;12;0;12;25;0;0;2;5;8;3;0;58;5;43;3;2;0;10;;3;Благоевград;България;42;-;гр.Благоевград;4279;-;837
010300043;5;0;0;0;2;0;38;0;192;0;24;0;18;39;0;1;0;0;4;3;1;67;8;41;9;0;0;17;;3;Благоевград;България;43;-;гр.Благоевград;4279;-;865
010300044;6;3;0;0;1;0;35;4;139;1;20;1;7;19;0;1;1;1;5;0;0;72;0;20;3;3;0;18;;3;Благоевград;България;44;-;гр.Благоевград;4279;-;706
010300045;7;2;0;1;1;2;50;3;144;1;18;0;8;32;0;0;1;1;12;2;1;68;5;28;6;6;0;17;;3;Благоевград;България;45;-;гр.Благоевград;4279;-;788
010300046;7;0;2;0;1;0;23;0;132;1;27;0;17;15;1;0;0;3;3;1;0;47;2;15;3;1;0;14;;3;Благоевград;България;46;-;гр.Благоевград;4279;-;616
010300047;6;1;0;1;1;1;26;2;136;0;24;0;20;13;0;0;3;4;7;3;0;49;0;20;7;0;0;22;;3;Благоевград;България;47;-;гр.Благоевград;4279;-;737
010300048;8;0;0;0;1;0;41;0;123;0;11;2;10;11;0;0;0;0;3;3;0;77;1;16;5;1;0;17;;3;Благоевград;България;48;-;гр.Благоевград;4279;-;614
010300049;10;1;4;2;1;0;67;0;126;0;21;0;18;14;2;0;0;0;6;6;0;80;0;10;2;1;0;20;;3;Благоевград;България;49;-;гр.Благоевград;4279;-;805
010300050;4;1;0;0;0;2;40;2;179;1;22;1;17;26;0;4;1;4;8;6;0;74;2;22;7;4;0;13;;3;Благоевград;България;50;-;гр.Благоевград;4279;-;858
010300051;4;0;0;0;2;0;31;2;148;0;15;0;16;17;2;0;3;1;5;5;1;69;4;34;11;2;0;16;;3;Благоевград;България;51;-;гр.Благоевград;4279;-;721
010300052;4;1;0;0;2;1;26;2;161;0;22;0;23;25;2;1;2;1;15;5;1;79;1;20;0;3;0;20;;3;Благоевград;България;52;-;гр.Благоевград;4279;-;799
010300053;3;2;0;0;1;1;26;4;136;0;16;0;16;5;1;0;0;8;2;2;2;21;1;17;2;1;0;14;;3;Благоевград;България;53;-;гр.Благоевград;4279;-;544
010300054;3;0;3;0;0;0;30;2;112;0;15;0;11;16;0;1;0;0;8;11;1;34;0;30;5;1;0;16;;3;Благоевград;България;54;-;гр.Благоевград;4279;-;658
010300055;2;1;1;0;2;1;25;0;121;0;10;2;7;6;1;0;1;1;0;8;1;49;0;30;4;0;0;10;;3;Благоевград;България;55;-;гр.Благоевград;4279;-;656
010300056;0;0;1;0;1;0;20;1;124;0;23;2;19;7;1;1;0;2;1;2;0;35;3;16;2;1;0;14;;3;Благоевград;България;56;-;гр.Благоевград;4279;-;558
010300057;1;2;1;0;4;1;21;0;123;1;15;0;22;9;0;0;0;0;1;1;0;23;0;16;6;0;0;34;;3;Благоевград;България;57;-;гр.Благоевград;4279;-;562
010300058;2;5;1;0;2;0;24;1;158;0;15;8;20;15;0;0;3;2;1;0;1;36;2;24;0;3;0;25;;3;Благоевград;България;58;-;гр.Благоевград;4279;-;698
010300059;7;3;0;0;2;0;22;0;143;1;18;0;21;16;0;1;1;6;3;2;0;59;1;12;14;0;0;19;;3;Благоевград;България;59;-;гр.Благоевград;4279;-;768
010300060;1;0;0;0;2;0;16;1;110;1;20;1;13;18;1;1;0;0;6;2;0;33;0;22;3;1;0;12;;3;Благоевград;България;60;-;гр.Благоевград;4279;-;605
010300061;9;5;0;1;1;0;45;1;174;0;21;0;24;16;0;0;0;1;6;3;1;51;0;22;22;3;0;30;;3;Благоевград;България;61;-;гр.Благоевград;4279;-;897
010300062;6;0;0;0;0;0;19;0;122;0;25;0;23;23;2;2;0;2;3;1;0;40;0;11;8;3;0;23;;3;Благоевград;България;62;-;гр.Благоевград;4279;-;683
010300063;11;1;8;0;0;0;23;0;132;0;15;0;15;10;1;0;2;7;1;2;2;49;3;11;10;0;0;17;;3;Благоевград;България;63;-;гр.Благоевград;4279;-;777
010300064;8;1;0;0;2;0;21;0;131;0;22;0;18;21;0;1;2;1;2;0;1;49;0;17;8;1;0;24;;3;Благоевград;България;64;-;гр.Благоевград;4279;-;746
010300065;14;1;0;0;1;1;28;0;133;2;14;1;11;18;3;0;0;1;5;3;0;30;4;22;12;2;0;23;;3;Благоевград;България;65;-;гр.Благоевград;4279;-;798
010300066;9;0;0;0;0;0;30;2;154;0;17;1;11;25;0;1;1;3;1;3;1;33;1;11;2;0;0;8;;3;Благоевград;България;66;-;гр.Благоевград;4279;-;698
010300067;5;0;1;0;0;0;19;2;103;0;11;0;20;7;0;1;1;1;2;5;0;25;1;13;11;1;0;7;;3;Благоевград;България;67;-;гр.Благоевград;4279;-;602
010300068;10;1;0;1;1;0;19;1;112;1;21;0;12;17;0;6;1;0;4;0;0;26;0;11;3;2;0;9;;3;Благоевград;България;68;-;гр.Благоевград;4279;-;578
010300069;11;0;0;0;2;0;23;0;139;0;13;0;21;11;3;0;0;0;6;4;2;27;1;21;4;1;0;20;;3;Благоевград;България;69;-;гр.Благоевград;4279;-;667
010300070;1;0;0;1;0;0;14;2;121;1;11;1;20;21;0;0;0;2;4;0;0;22;0;15;4;1;0;15;;3;Благоевград;България;70;-;гр.Благоевград;4279;-;668
010300071;2;1;1;0;4;0;35;0;121;1;11;0;13;11;0;1;0;1;2;1;4;30;0;21;6;0;0;16;;3;Благоевград;България;71;-;гр.Благоевград;4279;-;639
010300072;4;0;2;1;1;0;16;0;103;0;14;0;14;10;0;0;1;0;7;3;0;48;2;20;10;1;0;10;;3;Благоевград;България;72;-;гр.Благоевград;4279;-;573
010300073;2;0;2;1;1;0;27;1;152;0;15;1;16;28;0;0;0;3;0;7;0;41;2;32;6;3;0;17;;3;Благоевград;България;73;-;гр.Благоевград;4279;-;745
010300074;4;1;0;1;0;0;17;0;80;0;10;0;27;15;4;1;0;4;1;8;0;31;1;18;4;0;0;17;;3;Благоевград;България;74;-;гр.Благоевград;4279;-;582
010300075;3;1;1;1;3;0;37;1;192;1;10;0;29;25;0;1;1;6;2;2;1;47;2;28;20;3;0;10;;3;Благоевград;България;75;-;гр.Благоевград;4279;-;1015
010300076;9;1;0;1;2;1;30;2;153;0;12;1;24;15;2;2;1;2;11;1;1;79;2;21;6;5;0;12;;3;Благоевград;България;76;-;гр.Благоевград;4279;-;777
010300077;1;1;1;0;0;0;35;1;132;0;22;0;21;9;2;1;1;4;7;1;0;33;1;21;2;2;0;25;;3;Благоевград;България;77;-;гр.Благоевград;4279;-;726
010300078;4;0;0;1;1;1;36;1;138;1;21;0;23;12;0;1;0;3;4;7;1;28;0;23;4;1;0;23;;3;Благоевград;България;78;-;гр.Благоевград;4279;-;683
010300079;3;1;3;0;7;0;23;1;119;0;9;2;27;14;0;0;0;0;4;3;0;37;0;13;5;4;0;25;;3;Благоевград;България;79;-;гр.Благоевград;4279;-;701
010300080;1;1;1;2;0;0;13;3;109;0;22;0;18;10;0;0;0;4;0;0;0;31;1;15;1;1;0;16;;3;Благоевград;България;80;-;гр.Благоевград;4279;-;521
010300081;1;1;0;0;1;2;16;0;88;1;8;1;10;13;0;1;0;6;2;0;2;25;1;13;3;0;0;9;;3;Благоевград;България;81;-;гр.Благоевград;4279;-;483
010300082;6;0;0;1;4;0;28;3;136;0;20;1;22;18;5;1;1;3;6;2;0;40;1;26;3;0;0;20;;3;Благоевград;България;82;-;гр.Благоевград;4279;-;806
010300083;1;0;0;0;2;0;37;0;182;1;31;1;34;12;0;1;1;3;2;2;0;49;4;18;4;3;0;14;;3;Благоевград;България;83;-;гр.Благоевград;4279;-;1203
010300084;4;1;1;1;3;1;35;5;136;2;15;1;22;17;3;0;1;1;5;2;4;42;2;19;6;2;0;12;;3;Благоевград;България;84;-;гр.Благоевград;4279;-;665
010300085;5;3;0;0;0;0;24;1;152;1;8;1;15;17;0;1;0;15;13;0;0;69;1;24;5;1;0;16;;3;Благоевград;България;85;-;гр.Благоевград;4279;-;755
010300086;9;2;0;1;2;1;29;0;132;0;12;0;20;16;0;1;0;8;12;7;1;33;0;24;9;2;0;7;;3;Благоевград;България;86;-;гр.Благоевград;4279;-;837
010300087;3;0;1;1;2;0;28;1;115;0;7;0;12;8;0;1;1;6;1;0;3;17;3;18;5;0;0;9;;3;Благоевград;България;87;-;гр.Благоевград;4279;-;559
010300088;3;1;0;0;0;1;20;0;112;0;13;12;15;19;1;0;0;6;3;1;0;29;3;17;7;0;0;4;;3;Благоевград;България;88;-;гр.Благоевград;4279;-;616
010300089;2;2;1;1;0;0;39;2;113;0;19;0;17;19;1;0;0;4;4;1;1;34;0;14;4;1;0;11;;3;Благоевград;България;89;-;гр.Благоевград;4279;-;730
010300090;6;3;0;0;2;0;31;1;162;0;10;0;20;13;5;2;3;5;2;4;1;31;3;21;3;0;0;5;;3;Благоевград;България;90;-;гр.Благоевград;4279;-;771
010300091;5;1;3;0;1;2;29;0;141;3;21;0;23;12;0;0;0;2;3;1;0;30;2;20;5;4;0;14;;3;Благоевград;България;91;-;гр.Благоевград;4279;-;710
010300092;7;1;1;0;2;0;23;0;105;0;11;0;23;14;2;3;0;1;3;1;1;30;2;11;1;3;0;15;;3;Благоевград;България;92;-;гр.Благоевград;4279;-;634
010300093;3;0;2;3;1;1;19;1;85;0;6;0;9;14;4;0;0;0;10;1;0;18;3;14;2;1;0;6;;3;Благоевград;България;93;-;гр.Благоевград;4279;-;570
010300094;2;0;2;1;2;0;28;0;69;0;8;0;17;7;1;0;0;0;0;1;0;25;0;19;2;3;0;8;;3;Благоевград;България;94;-;гр.Благоевград;4279;-;492
010300095;3;0;1;0;2;0;35;0;161;2;26;2;16;28;2;2;1;1;4;0;0;60;7;35;6;1;0;21;;3;Благоевград;България;95;-;гр.Благоевград;4279;-;802
010300096;5;2;0;5;1;1;46;0;171;0;17;3;18;24;0;1;0;5;6;1;0;64;7;36;5;1;0;11;;3;Благоевград;България;96;-;гр.Благоевград;4279;-;837
010300097;0;0;0;0;0;0;0;0;12;0;3;0;1;0;0;0;0;0;0;1;0;3;0;1;0;0;0;1;;3;Благоевград;България;97;-;гр.Благоевград;4279;-;4
010300098;0;0;0;0;0;0;1;0;9;0;1;0;2;0;2;0;0;1;1;0;0;3;0;0;0;0;0;1;;3;Благоевград;България;98;-;с.Бистрица;4217;-;34
010300099;0;0;0;0;0;1;0;0;11;0;3;0;0;0;0;0;0;2;0;0;0;8;0;2;0;0;0;4;;3;Благоевград;България;99;-;с.Горно Хърсово;17004;-;77
010300100;0;0;0;0;0;0;1;0;15;0;3;1;3;2;0;0;0;2;0;0;0;4;0;0;0;0;0;3;;3;Благоевград;България;100;-;с.Марулево;47370;-;91
010300101;2;2;1;0;2;1;27;0;103;1;16;1;13;19;3;1;0;5;2;0;0;22;1;33;6;3;0;22;;3;Благоевград;България;101;-;с.Изгрев;134;-;608
010300102;0;0;0;0;0;0;23;1;89;0;2;0;18;10;0;0;0;8;0;12;0;38;0;18;0;0;0;16;;3;Благоевград;България;102;-;с.Церово;78464;-;573
010300103;2;0;1;0;2;0;25;2;148;2;8;2;15;27;7;1;1;2;4;1;0;60;1;50;11;2;0;34;;3;Благоевград;България;103;-;с.Покровник;57159;-;1770
010300104;0;0;0;0;1;0;1;0;17;0;0;0;0;0;0;0;0;1;0;0;0;10;0;0;0;0;0;2;;3;Благоевград;България;104;-;с.Мощанец;49179;-;36
010300105;0;1;0;0;0;0;13;1;86;0;15;0;5;6;0;0;0;4;0;0;1;28;1;26;8;1;0;12;;3;Благоевград;България;105;-;с.Падеш;55107;-;549
010300107;0;0;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;1;4;0;1;0;0;0;1;;3;Благоевград;България;107;-;с.Габрово;14204;-;29
010300108;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;1;0;0;0;6;0;1;0;0;0;2;;3;Благоевград;България;108;-;с.Дебочица;20328;-;32
010300109;0;0;0;0;0;0;1;0;16;0;4;0;2;2;0;0;0;1;0;0;0;24;0;0;1;2;0;10;;3;Благоевград;България;109;-;с.Лешко;43520;-;320
010300110;0;3;0;0;1;0;1;0;6;0;2;0;1;0;3;0;0;1;0;0;0;9;0;3;0;1;0;4;;3;Благоевград;България;110;-;с.Лешко;43520;-;602
