sid,yes,no,invalid,region,municipality,municipality_name,admin_reg,station,region_name,place,ekatte,address,eligible_voters
010300067,41,58,0,01,03,Благоевград,00,067,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,603
010300068,42,49,1,01,03,Благоевград,00,068,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,585
010300069,62,45,2,01,03,Благоевград,00,069,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,666
010300070,56,50,0,01,03,Благоевград,00,070,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,679
010300071,61,43,2,01,03,Благоевград,00,071,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,663
010300072,56,35,2,01,03,Благоевград,00,072,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,587
010300073,62,61,1,01,03,Благоевград,00,073,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,745
010300074,55,24,6,01,03,Благоевград,00,074,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,586
010300075,96,83,1,01,03,Благоевград,00,075,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,1003
010300076,114,58,5,01,03,Благоевград,00,076,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,796
010300077,66,58,2,01,03,Благоевград,00,077,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,725
010300078,58,64,0,01,03,Благоевград,00,078,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,676
010300079,81,66,2,01,03,Благоевград,00,079,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,706
010300080,63,50,0,01,03,Благоевград,00,080,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,526
010300081,46,44,2,01,03,Благоевград,00,081,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,498
010300082,95,64,1,01,03,Благоевград,00,082,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,816
010300083,66,69,1,01,03,Благоевград,00,083,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,1031
010300084,57,59,6,01,03,Благоевград,00,084,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,678
010300085,68,64,0,01,03,Благоевград,00,085,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,772
010300086,61,58,2,01,03,Благоевград,00,086,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,858
010300087,36,45,3,01,03,Благоевград,00,087,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,570
010300088,63,45,2,01,03,Благоевград,00,088,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,640
010300089,66,38,3,01,03,Благоевград,00,089,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,742
010300090,55,63,2,01,03,Благоевград,00,090,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,120
010300091,63,57,3,01,03,Благоевград,00,091,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,775
010300092,34,62,2,01,03,Благоевград,00,092,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,629
010300093,40,40,0,01,03,Благоевград,00,093,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,553
010300094,47,23,1,01,03,Благоевград,00,094,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,506
010300095,102,67,1,01,03,Благоевград,00,095,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,799
010300096,90,59,2,01,03,Благоевград,00,096,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,834
010300097,17,7,4,01,03,Благоевград,00,097,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,74
010300098,6,7,2,01,03,Благоевград,00,098,БЛАГОЕВГРАД,с.Бистрица,4217.0,-,42
010300099,11,8,2,01,03,Благоевград,00,099,БЛАГОЕВГРАД,с.Горно Хърсово,17004.0,-,77
010300100,17,3,0,01,03,Благоевград,00,100,БЛАГОЕВГРАД,с.Марулево,47370.0,-,74
010300101,51,44,2,01,03,Благоевград,00,101,БЛАГОЕВГРАД,с.Изгрев,134.0,-,570
010300102,74,50,4,01,03,Благоевград,00,102,БЛАГОЕВГРАД,с.Церово,78464.0,-,569
010300103,105,59,2,01,03,Благоевград,00,103,БЛАГОЕВГРАД,с.Покровник,57159.0,-,1584
010300104,14,9,0,01,03,Благоевград,00,104,БЛАГОЕВГРАД,с.Мощанец,49179.0,-,43
010300105,43,58,0,01,03,Благоевград,00,105,БЛАГОЕВГРАД,с.Падеш,55107.0,-,574
010300107,5,3,1,01,03,Благоевград,00,107,БЛАГОЕВГРАД,с.Габрово,14204.0,-,25
010300108,6,5,1,01,03,Благоевград,00,108,БЛАГОЕВГРАД,с.Дебочица,20328.0,-,23
010300109,22,7,8,01,03,Благоевград,00,109,БЛАГОЕВГРАД,с.Лешко,43520.0,-,150
010300110,7,7,0,01,03,Благоевград,00,110,БЛАГОЕВГРАД,с.Лешко,43520.0,-,569
010300111,82,50,1,01,03,Благоевград,00,111,БЛАГОЕВГРАД,с.Бело поле,3664.0,-,6005
010300112,91,73,2,01,03,Благоевград,00,112,БЛАГОЕВГРАД,с.Рилци,62699.0,-,2773
010300113,3,10,0,01,03,Благоевград,00,113,БЛАГОЕВГРАД,с.Дъбрава,24367.0,-,72
010300114,27,27,2,01,03,Благоевград,00,114,БЛАГОЕВГРАД,с.Зелендол,30702.0,-,193
010300115,28,29,1,01,03,Благоевград,00,115,БЛАГОЕВГРАД,с.Българчево,7377.0,-,231
010300116,14,3,0,01,03,Благоевград,00,116,БЛАГОЕВГРАД,с.Бучино,7168.0,-,79
010300117,45,31,6,01,03,Благоевград,00,117,БЛАГОЕВГРАД,с.Селище,66055.0,-,253
010300118,15,5,0,01,03,Благоевград,00,118,БЛАГОЕВГРАД,с.Дренково,23652.0,-,83
010300119,55,13,1,01,03,Благоевград,00,119,БЛАГОЕВГРАД,с.Логодаж,68792.0,-,1708
010300120,8,4,0,01,03,Благоевград,00,120,БЛАГОЕВГРАД,с.Клисура,37263.0,-,69
010300121,48,13,0,01,03,Благоевград,00,121,БЛАГОЕВГРАД,с.Еленово,27231.0,-,375
010300122,15,6,0,01,03,Благоевград,00,122,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,21
011100001,152,111,3,01,11,Гоце Делчев,00,001,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,1215
011100002,79,96,4,01,11,Гоце Делчев,00,002,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,939
011100003,76,81,3,01,11,Гоце Делчев,00,003,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,702
011100004,139,53,1,01,11,Гоце Делчев,00,004,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,760
011100005,69,60,3,01,11,Гоце Делчев,00,005,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,735
011100006,107,63,3,01,11,Гоце Делчев,00,006,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,759
011100007,77,75,3,01,11,Гоце Делчев,00,007,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,629
011100008,124,104,4,01,11,Гоце Делчев,00,008,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,844
011100009,84,88,5,01,11,Гоце Делчев,00,009,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,675
011100010,77,65,6,01,11,Гоце Делчев,00,010,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,668
011100011,69,88,3,01,11,Гоце Делчев,00,011,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,683
011100012,83,69,3,01,11,Гоце Делчев,00,012,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,750
011100013,79,73,0,01,11,Гоце Делчев,00,013,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,748
011100014,65,58,6,01,11,Гоце Делчев,00,014,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,878
011100015,60,51,0,01,11,Гоце Делчев,00,015,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,935
011100016,41,68,1,01,11,Гоце Делчев,00,016,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,773
011100017,60,69,0,01,11,Гоце Делчев,00,017,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,967
011100018,32,39,0,01,11,Гоце Делчев,00,018,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,977
011100019,44,16,0,01,11,Гоце Делчев,00,019,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,1016
011100020,125,90,1,01,11,Гоце Делчев,00,020,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,799
011100021,124,87,2,01,11,Гоце Делчев,00,021,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,876
011100022,85,81,3,01,11,Гоце Делчев,00,022,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,880
011100023,1,1,0,01,11,Гоце Делчев,00,023,БЛАГОЕВГРАД,гр.Гоце Делчев,17395.0,-,52
011100024,87,59,4,01,11,Гоце Делчев,00,024,БЛАГОЕВГРАД,с.Мусомища,49432.0,-,673
011100025,50,74,3,01,11,Гоце Делчев,00,025,БЛАГОЕВГРАД,с.Мусомища,49432.0,-,637
011100026,58,55,1,01,11,Гоце Делчев,00,026,БЛАГОЕВГРАД,с.Мусомища,49432.0,-,537
011100027,91,35,2,01,11,Гоце Делчев,00,027,БЛАГОЕВГРАД,с.Борово,5606.0,-,500
011100028,77,47,0,01,11,Гоце Делчев,00,028,БЛАГОЕВГРАД,с.Борово,5606.0,-,503
