sid,Петко Христов Краев Местна коалиция ГЕРБ /СДС/_tot,Ясен Емилов Русев КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ_tot,npn,invalid,region,municipality,admin_reg,station,region_name,municipality_name,place,ekatte,address,eligible_voters
224614010,17,84,3,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15",735
224614033,65,52,4,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12",633
224614015,70,37,1,4,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 89 ОУ ""Христо Стамболски"" - жк Дружба 1, ул. Чудомир Топлодолски №4",777
224614067,37,39,2,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11",606
224614064,72,47,2,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11",741
224614061,47,55,2,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36",851
224614057,57,49,3,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36",952
224614071,27,21,1,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11",648
224614074,16,41,0,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11",605
224614077,42,54,2,1,-,-,-,-,-,Столична,-,-,"С. БУСМАНЦИ, 65 ОУ ""Св. Св. Кирил и Методий"", с. Бусманци, ул. ""Просвета"" №16",662
224614072,30,33,2,2,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11",616
224614051,43,24,4,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122",629
224614017,77,31,2,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 89 ОУ ""Христо Стамболски"" - жк Дружба 1, ул. Чудомир Топлодолски №4",671
224614047,41,55,2,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122",751
224614030,108,55,6,7,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2",784
224614038,69,44,3,2,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12",642
224614041,72,29,1,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12",737
224614060,42,32,0,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36",827
224614014,62,37,2,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 89 ОУ ""Христо Стамболски"" - жк Дружба 1, ул. Чудомир Топлодолски №4",808
224614045,33,54,2,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122",697
