sid,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,npn,invalid,МЕЧ,ВМРО БНД,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ЗЕЛЕНИТЕ,Кузман Илиев (нез.),ЛЕВИЦАТА,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,ПРЯКА ДЕМОКРАЦИЯ,НИЕ ИДВАМЕ,НИЕ ГРАЖДАНИТЕ,ЕДИНЕНИЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,КОАЛИЦИЯ НА РОЗАТА,ОБЩЕСТВО ЗА НОВА БГ,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,НП ИСИ,БНО,БСДД,region,municipality,admin_reg,station,municipality_name,region_name,ekatte,place,address,eligible_voters
010100022,35.0,0.0,4.0,6.0,18.0,2.0,3.0,5.0,4,2.0,1.0,0.0,3.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,022,Банско,01. БЛАГОЕВГРАД,47857,с.Места,с. МЕСТА КЛУБ НА ПЕНСИОНЕРА,181
010100023,76.0,127.0,5.0,3.0,9.0,12.0,1.0,1.0,15,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01,01,00,023,Банско,01. БЛАГОЕВГРАД,76090,с.Филипово,с. ФИЛИПОВО КЛУБ НА ПЕНСИОНЕРА,526
010200001,25.0,81.0,9.0,17.0,39.0,8.0,1.0,3.0,11,2.0,4.0,3.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,01,02,00,001,Белица,01. БЛАГОЕВГРАД,3504,гр.Белица,"гр. БЕЛИЦА ГИМНАЗИЯ  Н. Й. ВАПЦАРОВ , УЛ.  ДИМО ХАДЖИДИМОВ ",555
010200002,54.0,167.0,9.0,14.0,23.0,7.0,4.0,4.0,5,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,01,02,00,002,Белица,01. БЛАГОЕВГРАД,3504,гр.Белица,"гр. БЕЛИЦА ГИМНАЗИЯ  Н. Й. ВАПЦАРОВ , УЛ.  ДИМО ХАДЖИДИМОВ ",816
010200003,74.0,129.0,9.0,28.0,42.0,7.0,4.0,10.0,6,3.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01,02,00,003,Белица,01. БЛАГОЕВГРАД,3504,гр.Белица,"гр. БЕЛИЦА ИНФОРМАЦИОНЕН ЦЕНТЪР, УЛ.  ГЕОРГИ АНДРЕЙЧИН  №11",684
010200004,37.0,123.0,6.0,19.0,29.0,4.0,2.0,10.0,12,0.0,7.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,01,02,00,004,Белица,01. БЛАГОЕВГРАД,3504,гр.Белица,"гр. БЕЛИЦА СОЦИАЛЕН ПАТРОНАЖ, УЛ.  ВЛАДИМИР ПОПТОМОВ ",545
010200005,23.0,340.0,4.0,1.0,3.0,4.0,0.0,11.0,19,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,01,02,00,005,Белица,01. БЛАГОЕВГРАД,20064,с.Дагоново,с. ДАГОНОВО УЧИЛИЩЕ,615
010200006,10.0,423.0,0.0,2.0,1.0,1.0,0.0,6.0,3,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,006,Белица,01. БЛАГОЕВГРАД,39270,с.Краище,"с. КРАИЩЕ ДЕТСКА ГРАДИНА, УЛ.  ЕДИНАДЕСЕТА  №18",705
010200007,13.0,328.0,0.0,1.0,2.0,1.0,0.0,6.0,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,007,Белица,01. БЛАГОЕВГРАД,39270,с.Краище,"с. КРАИЩЕ МАГ. БИМБ. МАХАЛА-БАРАКИТЕ, УЛ.  ДВАДЕСЕТ И ПЪРВА  №4",704
010200008,13.0,268.0,0.0,2.0,2.0,0.0,0.0,7.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,01,02,00,008,Белица,01. БЛАГОЕВГРАД,39270,с.Краище,"с. КРАИЩЕ ДЕТСКА ГРАДИНА, УЛ.  ЕДИНАДЕСЕТА  №18",609
