sid,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС-Пеев,БСП,ДПС-Доган,ИТН,МЕЧ,ВЕЛИЧИЕ,npn,invalid,СИНЯ БЪЛГАРИЯ,БВ,РУСОФИЛИ ЗА БГ,ПРЯКА ДЕМОКРАЦИЯ,ГЛАС НАРОДЕН,"РБ, ССД и ЗС",ЗЕЛЕНИТЕ,АТАКА,МОЯ СТРАНА БЪЛГАРИЯ,НП ИСИ,ПРАВОТО,ДОСТ,БНС-НД,КОЙ,Чавдар Попов (нез.),Булгари,БСДД,СПБП,БТР,БРИГАДА,region,municipality,admin_reg,station,municipality_name,region_name,ekatte,place,address,eligible_voters
010100019,11.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,019,Банско,01. БЛАГОЕВГРАД,54136,с.Осеново,"С.ОСЕНОВО, КЛУБ НА ПЕНСИОНЕРА",29
010100023,58.0,2.0,5.0,71.0,16.0,64.0,18.0,5.0,0.0,4.0,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,023,Банско,01. БЛАГОЕВГРАД,76090,с.Филипово,"С.ФИЛИПОВО, КЛУБ НА ПЕНСИОНЕРА",530
010200001,31.0,6.0,19.0,124.0,38.0,16.0,2.0,14.0,2.0,7.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,01,02,00,001,Белица,01. БЛАГОЕВГРАД,3504,гр.Белица,"ГР.БЕЛИЦА, ГИМНАЗИЯ  Н.Й. ВАПЦАРОВ  , УЛ. ДИМО ХАДЖИДИМОВ ",587
010200002,74.0,13.0,13.0,269.0,28.0,1.0,4.0,5.0,0.0,5.0,29,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01,02,00,002,Белица,01. БЛАГОЕВГРАД,3504,гр.Белица,"ГР.БЕЛИЦА, ГИМНАЗИЯ  Н.Й. ВАПЦАРОВ  , УЛ. ДИМО ХАДЖИДИМОВ ",831
010200003,71.0,8.0,21.0,183.0,43.0,24.0,5.0,11.0,4.0,6.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,003,Белица,01. БЛАГОЕВГРАД,3504,гр.Белица,"ГР.БЕЛИЦА, ИНФОРМАЦИОНЕН ЦЕНТЪР, УЛ. ГЕОРГИ АНДРЕЙЧИН  № 11",708
010200004,60.0,4.0,14.0,171.0,23.0,18.0,2.0,0.0,5.0,3.0,7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,01,02,00,004,Белица,01. БЛАГОЕВГРАД,3504,гр.Белица,"ГР.БЕЛИЦА, СОЦИАЛЕН ПАТРОНАЖ, УЛ. ВЛАДИМИР ПОПТОМОВ ",553
010200019,1.0,0.0,1.0,95.0,25.0,5.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,019,Белица,01. БЛАГОЕВГРАД,3504,гр.Белица,"с. Бабяк, с. Краище  ПОДВИЖНА ИЗБИРАТЕЛНА КОМИСИЯ",132
010200018,0.0,0.0,0.0,30.0,0.0,52.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,018,Белица,01. БЛАГОЕВГРАД,3504,гр.Белица,с. Горно Краище и останалите населени места на територията на Община Белица  ПОДВИЖНА ИЗБИРАТЕЛНА КОМИСИЯ,87
010200011,2.0,1.0,2.0,470.0,1.0,4.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,011,Белица,01. БЛАГОЕВГРАД,2107,с.Бабяк,"С.БАБЯК, УЧИЛИЩЕ",599
010200009,17.0,0.0,2.0,323.0,1.0,294.0,1.0,3.0,0.0,7.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,009,Белица,01. БЛАГОЕВГРАД,77596,с.Горно Краище,"С.ГОРНО КРАИЩЕ, УЧИЛИЩЕ",884
010200012,2.0,0.0,1.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,012,Белица,01. БЛАГОЕВГРАД,15638,с.Гълъбово,"С.ГЪЛЪБОВО, УЧИЛИЩЕ",30
010200005,21.0,1.0,4.0,295.0,3.0,88.0,2.0,1.0,2.0,18.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,005,Белица,01. БЛАГОЕВГРАД,20064,с.Дагоново,"С.ДАГОНОВО, УЧИЛИЩЕ",621
010200017,5.0,0.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,01,02,00,017,Белица,01. БЛАГОЕВГРАД,14521,с.Златарица,"С.ЗЛАТАРИЦА, КМЕТСТВО",65
010200006,5.0,1.0,3.0,316.0,1.0,131.0,0.0,0.0,0.0,2.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,006,Белица,01. БЛАГОЕВГРАД,39270,с.Краище,"С.КРАИЩЕ, ДЕТСКА ГРАДИНА, УЛ. ЕДИНАДЕСЕТА  №18",715
010200008,5.0,0.0,2.0,230.0,1.0,159.0,0.0,0.0,0.0,4.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,008,Белица,01. БЛАГОЕВГРАД,39270,с.Краище,"С.КРАИЩЕ, ДЕТСКА ГРАДИНА, УЛ. ЕДИНАДЕСЕТА  №18",646
010200007,12.0,0.0,2.0,267.0,3.0,143.0,1.0,3.0,0.0,7.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,01,02,00,007,Белица,01. БЛАГОЕВГРАД,39270,с.Краище,"С.КРАИЩЕ, МАГ.БИМБ.МАХАЛА-БАРАКИТЕ, УЛ.  ДВАДЕСЕТ И ПЪРВА  № 4",701
010200013,3.0,0.0,1.0,131.0,1.0,16.0,1.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,013,Белица,01. БЛАГОЕВГРАД,40453,с.Кузьово,"С.КУЗЬОВО, КМЕТСТВО",187
010200010,3.0,1.0,1.0,116.0,1.0,13.0,0.0,1.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,01,02,00,010,Белица,01. БЛАГОЕВГРАД,44762,с.Лютово,"С.ЛЮТОВО, КМЕТСТВО",159
010200016,2.0,0.0,1.0,83.0,1.0,8.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,016,Белица,01. БЛАГОЕВГРАД,53998,с.Орцево,"С.ОРЦЕВО, КМЕТСТВО",117
