sid,eligible_voters,added_voters,signatures,paper_ballots,invalid,npn_p,Мери Лалева Джонджорова-Калчева БЪЛГАРСКА СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ_p,Димитър Георгиев Драганов ВЪЗРАЖДАНЕ_p,Ясен Емилов Русев КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ_p,Борис Цветков Цветков БСП – ОБЕДИНЕНА ЛЕВИЦА_p,Ивайло Стоянов Докузанов ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ_p,Борислав Христов Борисов Политическа партия БЪЛГАРИЯ МОЖЕ_p,Гергана Николова Калпачка ИК - Гергана Николова Калпачка_p,Петко Христов Краев Местна коалиция ГЕРБ /СДС/_p,machine_ballots,npn_m,Мери Лалева Джонджорова-Калчева БЪЛГАРСКА СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ_m,Димитър Георгиев Драганов ВЪЗРАЖДАНЕ_m,Ясен Емилов Русев КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ_m,Борис Цветков Цветков БСП – ОБЕДИНЕНА ЛЕВИЦА_m,Ивайло Стоянов Докузанов ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ_m,Борислав Христов Борисов Политическа партия БЪЛГАРИЯ МОЖЕ_m,Гергана Николова Калпачка ИК - Гергана Николова Калпачка_m,Петко Христов Краев Местна коалиция ГЕРБ /СДС/_m,total_parties_m,Мери Лалева Джонджорова-Калчева БЪЛГАРСКА СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ_tot,Димитър Георгиев Драганов ВЪЗРАЖДАНЕ_tot,Ясен Емилов Русев КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ_tot,Борис Цветков Цветков БСП – ОБЕДИНЕНА ЛЕВИЦА_tot,Ивайло Стоянов Докузанов ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ_tot,Борислав Христов Борисов Политическа партия БЪЛГАРИЯ МОЖЕ_tot,Гергана Николова Калпачка ИК - Гергана Николова Калпачка_tot,Петко Христов Краев Местна коалиция ГЕРБ /СДС/_tot,address
224614068,636,2,75,30,0,0,0,4,5,4,0,1,5,11,45,0,0,3,17,7,1,1,9,7,45,0,7,22,11,1,2,14,18,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11"
224614024,630,2,63,20,0,0,0,2,6,3,0,0,3,6,43,1,0,4,20,3,0,0,12,3,42,0,6,26,6,0,0,15,9,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2"
224614035,717,2,79,21,1,0,0,0,4,5,0,0,1,10,58,2,0,1,25,10,0,0,5,15,56,0,1,29,15,0,0,6,25,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12"
224614019,975,3,126,62,4,1,0,2,14,6,0,0,25,10,64,0,0,2,33,4,1,0,18,6,64,0,4,47,10,1,0,43,16,"ГР. СОФИЯ, 89 ОУ ""Христо Стамболски"" - жк Дружба 1, ул. Чудомир Топлодолски №4"
224614040,815,0,148,37,0,0,0,2,3,5,0,1,6,20,111,0,1,0,70,12,0,2,9,17,111,1,2,73,17,0,3,15,37,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12"
224614005,805,0,91,39,1,3,0,0,12,8,0,1,6,8,52,0,0,5,23,6,0,0,8,10,52,0,5,35,14,0,1,14,18,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15"
224614052,615,2,60,13,1,1,0,0,4,2,1,0,0,4,47,0,0,4,30,2,0,2,3,6,47,0,4,34,4,1,2,3,10,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122"
224614027,724,1,91,43,2,0,0,1,10,6,2,0,6,16,48,2,0,6,21,8,0,0,5,6,46,0,7,31,14,2,0,11,22,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2"
224614048,761,1,101,32,0,0,0,0,8,6,0,1,4,13,69,0,0,3,48,5,1,0,4,8,69,0,3,56,11,1,1,8,21,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122"
224614009,657,1,64,27,0,1,0,0,4,6,0,0,12,4,37,0,0,2,14,2,0,0,15,4,37,0,2,18,8,0,0,27,8,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15"
224614003,707,1,89,36,1,1,0,2,6,7,0,0,9,10,53,1,0,0,16,9,0,0,16,11,52,0,2,22,16,0,0,25,21,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15"
224614016,786,2,101,52,0,1,0,1,10,8,0,1,13,18,49,3,0,1,17,4,0,1,12,11,46,0,2,27,12,0,2,25,29,"ГР. СОФИЯ, 89 ОУ ""Христо Стамболски"" - жк Дружба 1, ул. Чудомир Топлодолски №4"
224614043,698,2,74,24,0,1,0,1,1,10,0,0,2,9,50,0,0,1,30,2,0,1,6,10,50,0,2,31,12,0,1,8,19,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122"
224614050,734,3,94,38,0,0,0,1,7,6,0,2,1,21,56,2,0,1,23,10,0,2,5,13,54,0,2,30,16,0,4,6,34,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122"
224614012,710,0,63,23,0,1,0,0,9,3,0,0,1,9,40,0,0,1,28,1,0,3,6,1,40,0,1,37,4,0,3,7,10,"ГР. СОФИЯ, 89 ОУ ""Христо Стамболски"" - жк Дружба 1, ул. Чудомир Топлодолски №4"
224614056,591,1,78,15,2,0,0,1,5,0,0,1,3,3,63,0,0,0,49,5,0,1,1,7,63,0,1,54,5,0,2,4,10,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36"
224614055,627,1,67,6,0,0,0,2,0,1,0,2,0,1,61,0,0,2,48,2,0,0,6,3,61,0,4,48,3,0,2,6,4,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36"
224614022,714,4,99,33,1,0,0,3,9,5,0,0,4,11,66,0,0,1,48,3,0,1,3,10,66,0,4,57,8,0,1,7,21,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2"
224614034,674,2,103,40,0,0,0,2,8,5,0,0,4,21,63,0,0,3,37,5,0,0,4,14,63,0,5,45,10,0,0,8,35,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12"
224614023,662,3,86,31,0,1,0,4,9,3,1,1,5,7,55,0,0,5,32,7,0,0,5,6,55,0,9,41,10,1,1,10,13,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2"
224614073,701,0,47,18,1,1,0,1,0,6,0,0,2,7,29,1,0,3,4,13,0,0,1,7,28,0,4,4,19,0,0,3,14,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11"
