,station no,adm_id,ПП ДРОМ,ПП ДРОМ result,ПП ДРОМ result invalid,ПП Движение за радикална промяна Българската пролет,ПП Движение за радикална промяна Българската пролет result,ПП Движение за радикална промяна Българската пролет result invalid,Политическа партия Движение Напред България,Политическа партия Движение Напред България result,Политическа партия Движение Напред България result invalid,"Нова Република – ДСБ, Съюз за Пловдив, Българска демократична общност","Нова Република – ДСБ, Съюз за Пловдив, Българска демократична общност result","Нова Република – ДСБ, Съюз за Пловдив, Българска демократична общност result invalid","КОАЛИЦИЯ НА НЕДОВОЛНИТЕ (БСД – Евролевица, Българска Социалдемократическа партия, Християн-Социален Съюз)","КОАЛИЦИЯ НА НЕДОВОЛНИТЕ (БСД – Евролевица, Българска Социалдемократическа партия, Християн-Социален Съюз) result","КОАЛИЦИЯ НА НЕДОВОЛНИТЕ (БСД – Евролевица, Българска Социалдемократическа партия, Християн-Социален Съюз) result invalid",ВОЛЯ,ВОЛЯ result,ВОЛЯ result invalid,ПП БЪЛГАРСКИ ДЕМОКРАТИЧЕН ЦЕНТЪР - БДЦ,ПП БЪЛГАРСКИ ДЕМОКРАТИЧЕН ЦЕНТЪР - БДЦ result,ПП БЪЛГАРСКИ ДЕМОКРАТИЧЕН ЦЕНТЪР - БДЦ result invalid,Коалиция АБВ – Движение 21,Коалиция АБВ – Движение 21 result,Коалиция АБВ – Движение 21 result invalid,Движение за права и свободи – ДПС,Движение за права и свободи – ДПС result,Движение за права и свободи – ДПС result invalid,БСП за БЪЛГАРИЯ,БСП за БЪЛГАРИЯ result,БСП за БЪЛГАРИЯ result invalid,ПП ГЕРБ,ПП ГЕРБ result,ПП ГЕРБ result invalid,партия на ЗЕЛЕНИТЕ,партия на ЗЕЛЕНИТЕ result,партия на ЗЕЛЕНИТЕ result invalid,Обединение ДОСТ,Обединение ДОСТ result,Обединение ДОСТ result invalid,ПП Възраждане,ПП Възраждане result,ПП Възраждане result invalid,ДВИЖЕНИЕ ПРЕЗАРЕДИ БЪЛГАРИЯ,ДВИЖЕНИЕ ПРЕЗАРЕДИ БЪЛГАРИЯ result,ДВИЖЕНИЕ ПРЕЗАРЕДИ БЪЛГАРИЯ result invalid,"КП ДВИЖЕНИЕ ДА БЪЛГАРИЯ (Зелените, ДЕОС)","КП ДВИЖЕНИЕ ДА БЪЛГАРИЯ (Зелените, ДЕОС) result","КП ДВИЖЕНИЕ ДА БЪЛГАРИЯ (Зелените, ДЕОС) result invalid","ОБЕДИНЕНИ ПАТРИОТИ – НФСБ, АТАКА и ВМРО","ОБЕДИНЕНИ ПАТРИОТИ – НФСБ, АТАКА и ВМРО result","ОБЕДИНЕНИ ПАТРИОТИ – НФСБ, АТАКА и ВМРО result invalid",КОЙ – Българската левица и Зелена партия,КОЙ – Българската левица и Зелена партия result,КОЙ – Българската левица и Зелена партия result invalid,ПП НАЦИОНАЛНА РЕПУБЛИКАНСКА ПАРТИЯ,ПП НАЦИОНАЛНА РЕПУБЛИКАНСКА ПАРТИЯ result,ПП НАЦИОНАЛНА РЕПУБЛИКАНСКА ПАРТИЯ result invalid,БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ,БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ result,БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ result invalid,РЕФОРМАТОРСКИ БЛОК – ГЛАС НАРОДЕН,РЕФОРМАТОРСКИ БЛОК – ГЛАС НАРОДЕН result,РЕФОРМАТОРСКИ БЛОК – ГЛАС НАРОДЕН result invalid,независими1,независими1 result,независими1 result invalid,независими2,независими2 result,независими2 result invalid
24,010200002,1,1,0,0,2,1,0,3,3,0,4,2,0,5,1,0,6,3,0,7,0,0,8,12,0,9,166,0,10,85,0,11,135,0,12,1,0,13,0,0,14,0,0,15,0,0,16,1,0,17,18,0,18,0,0,19,1,0,20,0,0,21,3,0,22,0.0,0.0,23,,
25,010200003,1,1,1,0,2,0,0,3,1,0,4,0,0,5,0,0,6,15,0,7,1,1,8,3,0,9,156,1,10,132,3,11,115,0,12,0,0,13,11,0,14,0,0,15,0,0,16,0,0,17,18,0,18,0,0,19,1,0,20,0,0,21,3,0,22,0.0,0.0,23,,
26,010200004,1,1,0,0,2,1,0,3,1,0,4,0,0,5,0,0,6,5,0,7,0,0,8,2,0,9,122,0,10,90,0,11,132,0,12,1,0,13,9,0,14,0,0,15,0,0,16,2,0,17,14,0,18,0,0,19,0,0,20,0,0,21,6,0,22,0.0,0.0,23,,
27,010200005,1,1,1,0,2,0,0,3,1,0,4,2,0,5,0,0,6,4,0,7,0,0,8,4,0,9,342,0,10,5,0,11,55,0,12,0,0,13,30,0,14,2,0,15,0,0,16,0,0,17,1,0,18,0,0,19,0,0,20,0,0,21,6,0,22,0.0,0.0,23,,
28,010200006,1,1,0,0,2,0,0,3,0,0,4,0,0,5,2,0,6,9,0,7,0,0,8,0,0,9,298,2,10,5,0,11,51,0,12,0,0,13,66,1,14,0,0,15,0,0,16,0,0,17,2,0,18,0,0,19,0,0,20,0,0,21,1,0,22,0.0,0.0,23,,
29,010200007,1,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,7,0,0,8,1,0,9,332,0,10,6,0,11,54,0,12,0,0,13,61,0,14,0,0,15,0,0,16,0,0,17,0,0,18,0,0,19,0,0,20,0,0,21,1,0,22,0.0,0.0,23,,
30,010200008,1,1,0,0,2,0,0,3,0,0,4,2,0,5,0,0,6,1,0,7,0,0,8,3,0,9,288,2,10,6,0,11,62,0,12,0,0,13,58,0,14,1,0,15,0,0,16,0,0,17,1,0,18,0,0,19,0,0,20,0,0,21,2,0,22,0.0,0.0,23,,
31,010200009,1,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,2,0,7,0,0,8,2,0,9,259,0,10,2,0,11,33,0,12,0,0,13,41,0,14,0,0,15,0,0,16,0,0,17,1,0,18,0,0,19,0,0,20,0,0,21,0,0,22,0.0,0.0,23,,
32,010200010,1,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,7,0,0,8,0,0,9,274,0,10,3,0,11,28,0,12,1,0,13,34,0,14,0,0,15,0,0,16,0,0,17,2,0,18,0,0,19,0,0,20,0,0,21,1,0,22,0.0,0.0,23,,
33,010200011,1,1,0,0,2,1,0,3,0,0,4,0,0,5,0,0,6,4,0,7,0,0,8,2,0,9,117,1,10,3,0,11,5,0,12,0,0,13,10,0,14,0,0,15,0,0,16,0,0,17,0,0,18,0,0,19,0,0,20,0,0,21,1,0,22,0.0,0.0,23,,
34,010200012,1,1,0,0,2,0,0,3,0,0,4,2,0,5,0,0,6,0,0,7,0,0,8,0,0,9,450,0,10,9,0,11,18,0,12,0,0,13,2,0,14,0,0,15,0,0,16,0,0,17,0,0,18,0,0,19,1,0,20,0,0,21,1,0,22,0.0,0.0,23,,
35,010200013,1,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,2,0,9,22,0,10,2,0,11,3,0,12,0,0,13,0,0,14,0,0,15,0,0,16,0,0,17,0,0,18,0,0,19,1,0,20,0,0,21,0,0,22,0.0,0.0,23,,
36,010200014,1,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,145,0,10,5,0,11,8,0,12,0,0,13,2,0,14,0,0,15,0,0,16,0,0,17,1,0,18,0,0,19,0,0,20,0,0,21,1,0,22,0.0,0.0,23,,
37,010200015,1,1,0,0,2,0,0,3,1,0,4,1,0,5,0,0,6,1,0,7,0,0,8,1,0,9,98,0,10,7,0,11,29,0,12,0,0,13,2,0,14,0,0,15,0,0,16,0,0,17,0,0,18,0,0,19,0,0,20,0,0,21,1,0,22,0.0,0.0,23,,
38,010200016,1,1,0,0,2,0,0,3,0,0,4,1,0,5,0,0,6,0,0,7,0,0,8,0,0,9,140,3,10,8,0,11,10,0,12,0,0,13,4,0,14,1,0,15,0,0,16,0,0,17,0,0,18,0,0,19,2,0,20,0,0,21,0,0,22,0.0,0.0,23,,
39,010200017,1,1,0,0,2,0,0,3,0,0,4,1,0,5,0,0,6,0,0,7,0,0,8,0,0,9,68,8,10,2,0,11,18,0,12,0,0,13,3,0,14,0,0,15,0,0,16,0,0,17,2,0,18,0,0,19,0,0,20,0,0,21,1,0,22,0.0,0.0,23,,
40,010200018,1,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,19,0,10,2,0,11,8,0,12,0,0,13,1,0,14,0,0,15,0,0,16,0,0,17,2,0,18,0,0,19,0,0,20,0,0,21,1,0,22,0.0,0.0,23,,
41,010300001,1,1,0,0,2,0,0,3,0,0,4,12,0,5,1,1,6,11,0,7,1,0,8,3,0,9,6,0,10,67,2,11,113,2,12,5,0,13,0,0,14,7,0,15,0,0,16,12,0,17,27,0,18,0,0,19,1,0,20,0,0,21,14,0,22,1.0,0.0,23,,
42,010300002,1,1,0,0,2,0,0,3,0,0,4,6,0,5,0,0,6,8,0,7,0,0,8,4,0,9,2,0,10,52,0,11,73,4,12,5,0,13,0,0,14,2,0,15,0,0,16,3,0,17,24,0,18,0,0,19,0,0,20,2,0,21,7,0,22,1.0,0.0,23,,
43,010300003,1,1,0,0,2,0,0,3,0,0,4,13,0,5,0,0,6,10,0,7,0,0,8,9,0,9,3,0,10,57,2,11,98,7,12,0,0,13,0,0,14,4,0,15,0,0,16,8,0,17,22,0,18,0,0,19,1,0,20,0,0,21,7,0,22,0.0,0.0,23,,
44,010300004,1,1,0,0,2,0,1,3,2,0,4,11,0,5,1,0,6,6,1,7,0,0,8,3,0,9,2,0,10,58,2,11,109,1,12,1,0,13,0,0,14,0,0,15,0,0,16,7,0,17,29,0,18,0,0,19,1,0,20,0,0,21,12,0,22,0.0,1.0,23,,
45,010300005,1,1,0,0,2,0,0,3,0,0,4,10,0,5,0,0,6,15,0,7,0,0,8,5,0,9,10,0,10,112,1,11,140,1,12,2,0,13,0,0,14,2,0,15,0,0,16,6,0,17,36,1,18,0,0,19,0,0,20,2,0,21,11,0,22,3.0,0.0,23,,
46,010300006,1,1,1,0,2,0,0,3,0,0,4,8,0,5,0,0,6,7,0,7,1,0,8,1,0,9,18,0,10,97,0,11,77,0,12,1,0,13,0,0,14,2,0,15,0,0,16,4,0,17,33,0,18,1,0,19,0,0,20,0,0,21,11,0,22,2.0,0.0,23,,
47,010300007,1,1,1,0,2,2,0,3,0,0,4,0,0,5,0,0,6,1,0,7,3,0,8,3,0,9,36,0,10,94,0,11,94,0,12,0,0,13,0,0,14,1,0,15,0,0,16,0,0,17,6,0,18,1,0,19,0,0,20,1,0,21,2,0,22,2.0,0.0,23,,
48,010300008,1,1,2,1,2,1,0,3,0,0,4,13,0,5,0,0,6,10,0,7,0,0,8,14,0,9,24,0,10,80,1,11,110,3,12,4,0,13,2,0,14,0,0,15,0,0,16,6,0,17,22,0,18,0,0,19,0,0,20,0,0,21,8,0,22,2.0,0.0,23,,
49,010300009,1,1,4,0,2,1,0,3,0,0,4,4,0,5,2,0,6,9,0,7,0,0,8,7,0,9,19,0,10,60,0,11,74,0,12,3,0,13,1,0,14,0,0,15,0,0,16,1,0,17,20,0,18,0,0,19,1,0,20,0,0,21,2,0,22,0.0,0.0,23,,
50,010300010,1,1,3,0,2,2,0,3,0,0,4,10,0,5,2,0,6,7,3,7,0,0,8,6,1,9,31,2,10,78,8,11,92,10,12,1,0,13,0,0,14,1,0,15,0,0,16,3,0,17,17,5,18,0,0,19,0,0,20,0,0,21,13,5,22,0.0,0.0,23,,
51,010300011,1,1,0,0,2,0,0,3,2,0,4,7,0,5,1,0,6,4,0,7,0,0,8,4,0,9,9,0,10,119,5,11,113,4,12,4,0,13,0,0,14,3,0,15,0,0,16,14,0,17,25,0,18,0,0,19,0,0,20,1,0,21,8,0,22,0.0,0.0,23,,
52,010300012,1,1,0,0,2,1,0,3,0,0,4,8,0,5,0,0,6,2,1,7,1,0,8,8,0,9,21,0,10,72,2,11,113,3,12,3,0,13,0,0,14,4,0,15,0,0,16,16,0,17,22,0,18,0,0,19,0,0,20,1,0,21,8,0,22,0.0,0.0,23,,
53,010300013,1,1,0,0,2,3,0,3,1,0,4,16,0,5,0,0,6,5,0,7,0,0,8,10,0,9,7,0,10,77,2,11,137,1,12,0,0,13,1,0,14,3,0,15,0,0,16,3,0,17,25,0,18,0,0,19,0,0,20,0,0,21,9,0,22,0.0,0.0,23,,
54,010300014,1,1,1,0,2,0,0,3,1,0,4,27,0,5,0,0,6,10,0,7,0,0,8,9,0,9,17,0,10,64,0,11,110,2,12,1,0,13,1,0,14,5,0,15,0,0,16,4,0,17,30,0,18,0,0,19,0,0,20,2,0,21,9,0,22,1.0,0.0,23,,
55,010300015,1,1,0,0,2,0,0,3,1,0,4,17,0,5,0,0,6,5,0,7,0,0,8,5,0,9,4,0,10,69,0,11,126,1,12,2,1,13,0,0,14,3,0,15,0,0,16,6,0,17,41,0,18,0,0,19,0,0,20,0,0,21,6,0,22,0.0,0.0,23,,
56,010300016,1,1,0,0,2,0,0,3,0,0,4,29,0,5,1,0,6,12,0,7,0,0,8,2,0,9,5,0,10,113,0,11,158,3,12,0,0,13,0,0,14,2,1,15,0,0,16,7,0,17,25,0,18,0,0,19,1,0,20,0,0,21,17,0,22,1.0,0.0,23,,
57,010300017,1,1,0,0,2,0,0,3,1,0,4,22,0,5,0,0,6,10,0,7,1,0,8,12,0,9,2,0,10,65,0,11,109,0,12,0,0,13,0,0,14,1,0,15,0,0,16,10,0,17,27,0,18,0,0,19,0,0,20,0,0,21,16,0,22,0.0,0.0,23,,
58,010300018,1,1,0,0,2,0,0,3,1,0,4,10,0,5,1,0,6,8,0,7,0,0,8,12,0,9,3,0,10,82,0,11,143,0,12,1,0,13,1,0,14,2,0,15,0,0,16,11,0,17,36,0,18,0,0,19,0,0,20,2,0,21,11,0,22,0.0,0.0,23,,
59,010300019,1,1,0,0,2,0,0,3,1,0,4,8,0,5,0,0,6,2,0,7,0,0,8,0,0,9,2,0,10,57,0,11,93,0,12,0,0,13,0,0,14,6,0,15,0,0,16,2,0,17,26,0,18,0,0,19,0,0,20,0,0,21,7,0,22,1.0,0.0,23,,
60,010300020,1,1,1,0,2,0,0,3,0,0,4,20,0,5,0,0,6,8,0,7,0,0,8,8,0,9,5,0,10,78,1,11,115,2,12,0,0,13,0,0,14,3,0,15,0,0,16,14,1,17,24,1,18,0,0,19,0,0,20,0,0,21,7,0,22,0.0,0.0,23,,
61,010300021,1,1,0,0,2,1,0,3,0,0,4,6,0,5,2,0,6,9,0,7,0,0,8,2,0,9,2,0,10,59,0,11,92,0,12,0,0,13,0,0,14,0,0,15,0,0,16,14,0,17,17,0,18,0,0,19,0,0,20,0,0,21,9,0,22,0.0,0.0,23,,
62,010300022,1,1,1,0,2,0,0,3,0,0,4,9,0,5,0,0,6,9,1,7,2,0,8,8,0,9,3,0,10,72,3,11,134,1,12,2,0,13,0,0,14,2,0,15,0,0,16,4,0,17,25,0,18,0,0,19,0,0,20,0,0,21,7,0,22,0.0,0.0,23,,
63,010300023,1,1,0,1,2,1,0,3,0,0,4,4,0,5,0,0,6,9,0,7,0,0,8,7,0,9,1,0,10,89,2,11,110,0,12,1,0,13,0,0,14,0,0,15,0,0,16,12,0,17,36,0,18,0,0,19,1,0,20,0,0,21,17,0,22,1.0,0.0,23,,
64,010300024,1,1,0,0,2,2,0,3,1,0,4,21,0,5,0,0,6,9,0,7,1,0,8,7,0,9,6,0,10,49,1,11,128,5,12,1,1,13,2,0,14,4,0,15,0,0,16,6,0,17,23,0,18,0,0,19,0,0,20,0,0,21,8,0,22,1.0,0.0,23,,
65,010300025,1,1,0,0,2,3,0,3,0,0,4,20,0,5,0,0,6,5,0,7,1,0,8,9,0,9,6,0,10,94,0,11,111,0,12,0,0,13,0,0,14,1,0,15,0,0,16,14,0,17,32,0,18,0,0,19,0,0,20,0,0,21,15,0,22,0.0,0.0,23,,
66,010300026,1,1,0,0,2,0,0,3,0,0,4,31,0,5,1,0,6,9,0,7,0,0,8,6,0,9,4,0,10,77,1,11,150,2,12,0,0,13,1,0,14,1,0,15,0,0,16,17,0,17,36,0,18,0,0,19,0,0,20,3,0,21,19,0,22,0.0,0.0,23,,
67,010300027,1,1,1,0,2,1,1,3,1,0,4,26,0,5,1,0,6,14,1,7,0,0,8,4,0,9,10,1,10,108,1,11,149,2,12,3,0,13,2,0,14,1,0,15,0,0,16,20,0,17,27,0,18,1,0,19,0,0,20,0,0,21,21,0,22,0.0,0.0,23,,
68,010300028,1,1,0,0,2,4,0,3,0,0,4,12,0,5,0,0,6,8,0,7,0,0,8,16,0,9,9,0,10,84,0,11,128,0,12,1,0,13,0,0,14,2,0,15,0,0,16,16,0,17,33,0,18,0,0,19,0,0,20,2,0,21,14,0,22,0.0,0.0,23,,
